Date,Boxscore_URL,Score,Outs,Base State,Pitches,Sequence,Out,Team,Batter,Pitcher,Win Expectancy,Leverage Index,Event,Unnamed: 14,Inning,Event Type
Monday Apr 6,https://www.baseball-reference.com/boxes/BAL/BAL199204060.shtml,Feb-00,0.0,---,"""2","(0-1)CX""",O,BAL,Mike Devereaux,CharlesÂ Nagy,-1%,88%,Flyball: CF,,,
Wednesday Apr 8,https://www.baseball-reference.com/boxes/BAL/BAL199204080.shtml,0-4,0.0,---,"""5","(3-1)CBBBB""",,BAL,Randy Milligan,DaveÂ Otto,-3%,90%,Walk,,,
Thursday Apr 9,https://www.baseball-reference.com/boxes/BAL/BAL199204090.shtml,Feb-00,0.0,---,"""3","(1-1)CBX""",,BAL,Leo Gómez,JackÂ Armstrong,1%,91%,Single (Line Drive to SS-3B Hole),,,
Friday Apr 17,https://www.baseball-reference.com/boxes/BAL/BAL199204170.shtml,Mar-00,0.0,---,"""4","(2-1).BFBX""",,BAL,Chris Hoiles,KevinÂ Ritz,1%,95%,Single (Line Drive to 2B-1B),,,
Saturday Apr 18,https://www.baseball-reference.com/boxes/BAL/BAL199204180.shtml,1-Mar,0.0,---,"""5","(2-2)CBFBX""",O,BAL,Luis Mercedes,MarkÂ Leiter,-1%,88%,Lineout: 2B,,,
Sunday Apr 19,https://www.baseball-reference.com/boxes/BAL/BAL199204190.shtml,2-Mar,0.0,---,"""1","(0-0)X""",O,BAL,Brady Anderson,WaltÂ Terrell,-2%,78%,Lineout: RF,,,
Monday Apr 20,https://www.baseball-reference.com/boxes/BAL/BAL199204200.shtml,4-May,0.0,---,"""4","(1-2)BCFX""",,BAL,Brady Anderson,LesÂ Lancaster,3%,82%,Single (Ground Ball to P's Right),,,
Friday May 1,https://www.baseball-reference.com/boxes/BAL/BAL199205010.shtml,1-Oct,0.0,---,"""4","(1-2).CBCS""",O,BAL,Brady Anderson,GeneÂ Harris,0%,100%,Strikeout Swinging,,,
Saturday May 2,https://www.baseball-reference.com/boxes/BAL/BAL199205020.shtml,2-Apr,0.0,---,"""4","(2-1)CBBX""",O,BAL,Brady Anderson,ErikÂ Hanson,-1%,88%,Groundout: 1B unassisted,,,
Sunday May 3,https://www.baseball-reference.com/boxes/BAL/BAL199205030.shtml,4-Jun,0.0,---,"""1","(0-0).X""",O,BAL,Sam Horn,JeffÂ Nelson,-1%,88%,Groundout: 1B unassisted (2B-1B),,,
